country,year,population
Switzerland,2004,7023166
Switzerland,2005,7071991
Switzerland,2006,7118477
Switzerland,2007,7183595
Switzerland,2008,7274875
Switzerland,2009,7364558
Switzerland,2010,7439147
Switzerland,2011,7518040
Switzerland,2012,7595591
Switzerland,2013,7681318
Switzerland,2014,7809621
Switzerland,2015,7892502
Thailand,1985,46303443
Thailand,1986,47331465
Thailand,1987,48376410
Thailand,1990,51228668
Thailand,1991,51947693
Thailand,1992,52570440
Thailand,1994,52691000
Thailand,1995,54366057
Thailand,1996,55070703
Thailand,1997,55859088
Thailand,1998,56691783
Thailand,1999,57507860
Thailand,2000,58262135
Thailand,2002,58263389
Thailand,2003,60158951
Thailand,2004,60686373
Thailand,2005,61182665
Thailand,2006,61636512
Thailand,2007,58941621
Thailand,2008,59216773
Thailand,2009,59483718
Thailand,2010,59769764
Thailand,2011,60261832
Thailand,2012,60382255
Thailand,2013,60766487
Thailand,2014,61139919
Thailand,2015,61261276
Thailand,2016,53442001
Trinidad and Tobago,1985,1008000
Trinidad and Tobago,1986,1061600
Trinidad and Tobago,1987,1078300
Trinidad and Tobago,1988,1095600
Trinidad and Tobago,1989,1070000
Trinidad and Tobago,1990,1088500
Trinidad and Tobago,1991,1102000
Trinidad and Tobago,1992,1132600
Trinidad and Tobago,1993,1148300
Trinidad and Tobago,1994,1162900
Trinidad and Tobago,1995,1149173
Trinidad and Tobago,1996,1156185
Trinidad and Tobago,1997,1162267
Trinidad and Tobago,1998,1167924
Trinidad and Tobago,1999,1173276
Trinidad and Tobago,2000,1178363
Trinidad and Tobago,2001,1183354
Trinidad and Tobago,2002,1188800
Trinidad and Tobago,2003,1194458
Trinidad and Tobago,2004,1200116
Trinidad and Tobago,2005,1205471
Trinidad and Tobago,2006,1209301
Trinidad and Tobago,2007,1213988
Trinidad and Tobago,2008,1219336
Trinidad and Tobago,2009,1225097
Trinidad and Tobago,2010,1231002
Trinidad and Tobago,2011,1237186
Turkey,2009,65962419
Turkey,2010,66975131
Turkey,2011,68034357
Turkey,2012,68976439
Turkey,2013,69880352
Turkey,2014,70931420
Turkey,2015,71880464
Turkmenistan,1987,2859100
Turkmenistan,1988,2926300
Turkmenistan,1989,2999000
Turkmenistan,1990,3079800
Turkmenistan,1991,3162500
Turkmenistan,1992,3252900
Turkmenistan,1993,3331100
Turkmenistan,1994,3423100
Turkmenistan,1995,3818200
Turkmenistan,1996,3913000
Turkmenistan,1997,4006400
Turkmenistan,1998,4099200
Turkmenistan,1999,3958754
Turkmenistan,2000,4026478
Turkmenistan,2001,4095981
Turkmenistan,2002,4143692
Turkmenistan,2003,4177740
Turkmenistan,2004,4211000
Turkmenistan,2005,4252530
Turkmenistan,2006,4287650
Turkmenistan,2007,4342657
Turkmenistan,2008,4412135
Turkmenistan,2009,4484467
Turkmenistan,2010,4551185
Turkmenistan,2011,4626095
Turkmenistan,2012,4690058
Turkmenistan,2013,4748055
Turkmenistan,2014,4811227
Turkmenistan,2015,4886514
Ukraine,1987,47374200
Ukraine,1988,47549900
Ukraine,1989,47761700
Ukraine,1990,47971600
Ukraine,1991,48200600
Ukraine,1992,48487300
Ukraine,1993,48680500
Ukraine,1994,48619000
Ukraine,1995,48415300
Ukraine,1996,48174500
Ukraine,1997,47923000
Ukraine,1998,47675400
Ukraine,1999,47415400
Ukraine,2000,47125400
Ukraine,2001,46805969
Ukraine,2002,46060017
Ukraine,2003,45697383
Ukraine,2004,45322826
Ukraine,2005,44939270
Ukraine,2006,44560034
Ukraine,2007,44198672
Ukraine,2008,43856123
Ukraine,2009,43557944
Ukraine,2010,43296809
Ukraine,2011,43074791
Ukraine,2012,42915935
Ukraine,2014,40464165
Ukraine,2015,40345446
United Arab Emirates,2005,4280433
United Arab Emirates,2006,4923879
United Arab Emirates,2007,5695389
United Arab Emirates,2008,6510358
United Arab Emirates,2009,7252480
United Arab Emirates,2010,7839736
United Kingdom,1985,53006535
United Kingdom,1986,53119533
United Kingdom,1987,53239668
United Kingdom,1988,53310780
United Kingdom,1989,53425129
United Kingdom,1990,53557854
United Kingdom,1991,53903427
United Kingdom,1992,54076358
United Kingdom,1993,54283982
United Kingdom,1994,54497293
United Kingdom,1995,54746964
United Kingdom,1996,55012207
United Kingdom,1997,55266635
United Kingdom,1998,55527379
United Kingdom,1999,55833339
United Kingdom,2000,56133909
United Kingdom,2001,55571993
United Kingdom,2002,55908944
United Kingdom,2003,56171771
United Kingdom,2004,56455011
United Kingdom,2005,56809024
United Kingdom,2006,57091129
United Kingdom,2007,57382757
United Kingdom,2008,57683372
United Kingdom,2009,58013559
United Kingdom,2010,58403529
United Kingdom,2011,58881852
United Kingdom,2012,59708630
United Kingdom,2013,60091793
United Kingdom,2014,60570482
United Kingdom,2015,61082942
United States,1985,220723000
United States,1986,222953000
United States,1987,225148000
United States,1988,227353000
United States,1989,229487000
United States,1990,229952200
United States,1991,232955000
United States,1992,235565600
United States,1993,238092300
United States,1994,240614100
United States,1995,243164200
United States,1996,245997800
United States,1997,248486400
United States,1998,251332500
United States,1999,253748671
United States,2000,262246108
United States,2001,265427546
United States,2002,268759559
United States,2003,271041510
United States,2004,273584136
United States,2005,276106680
United States,2006,278980848
United States,2007,280658606
United States,2008,282355565
United States,2009,285162662
United States,2010,287839149
United States,2011,290313825
United States,2012,292827128
United States,2013,295322862
United States,2014,297749735
United States,2015,300078511
Uruguay,1985,2737400
Uruguay,1986,2757600
Uruguay,1987,2778900
Uruguay,1988,2799600
Uruguay,1989,2820700
Uruguay,1990,2834000
Uruguay,1993,2896228
Uruguay,1994,2920296
Uruguay,1995,2943816
Uruguay,1996,2967278
Uruguay,1997,2991662
Uruguay,1998,3014887
Uruguay,1999,3034833
Uruguay,2000,3050169
Uruguay,2001,3061024
Uruguay,2002,3065257
Uruguay,2003,3065772
Uruguay,2004,3066489
Uruguay,2005,3070178
Uruguay,2006,3077445
Uruguay,2007,3087957
Uruguay,2008,3100791
Uruguay,2009,3114306
Uruguay,2010,3127306
Uruguay,2012,3151939
Uruguay,2013,3164670
Uruguay,2014,3177645
Uruguay,2015,3190795
Uzbekistan,1990,17165700
Uzbekistan,1991,17347800
Uzbekistan,1992,18257000
Uzbekistan,1993,18509300
Uzbekistan,1994,19144700
Uzbekistan,1995,19599000
Uzbekistan,1996,19854500
Uzbekistan,1997,20364300
Uzbekistan,1998,20861200
Uzbekistan,1999,21329916
Uzbekistan,2000,21789067
Uzbekistan,2001,22231527
Uzbekistan,2002,22632256
Uzbekistan,2003,22982883
Uzbekistan,2004,23300841
Uzbekistan,2005,23600347
Uzbekistan,2009,25288102
Uzbekistan,2010,25651783
Uzbekistan,2011,25978049
Uzbekistan,2012,26381830
Uzbekistan,2013,26838924
Uzbekistan,2014,27313507
